# PLC110 v2.5.5 release vc46, text column x=210..900 (cover 0..196, buttons right of 950)
# y mean std max
2542 39.2 39.6 179
2543 27.6 8.9 152
2544 26.0 0.1 28
2545 26.0 0.0 26
2546 26.0 0.0 26
2547 26.0 0.0 26
2548 26.0 0.0 26
2549 26.0 0.0 26
2550 26.0 0.0 26
2551 26.0 0.0 26
2552 26.0 0.0 26
2553 26.0 0.0 26
2554 26.0 0.0 26
2555 26.0 0.0 26
2556 26.0 0.0 26
2557 26.0 0.0 26
2558 26.0 0.0 26
2559 26.0 0.0 26
2560 26.0 0.0 26
2561 26.0 0.0 26
2562 26.0 0.0 26
2563 26.0 0.0 26
2564 26.0 0.0 26
2565 26.0 0.0 26
2566 26.0 0.0 26
2567 26.0 0.0 26
2568 26.0 0.0 26
2569 26.0 0.0 26
2570 26.0 0.0 26
2571 26.0 0.0 26
2572 26.0 0.0 26
2573 26.0 0.0 26
2574 26.0 0.0 26
2575 26.0 0.0 26
2576 26.0 0.0 26
2577 26.0 0.0 26
2578 26.0 0.0 26
2579 26.0 0.0 26
2580 26.0 0.0 26
2581 26.0 0.0 26
2582 26.0 0.0 26
2583 26.0 0.0 26
2584 26.0 0.0 26
2585 26.0 0.0 26
2586 26.0 0.0 26
2587 26.0 0.0 26
2588 26.0 0.0 26
2589 26.0 0.0 26
2590 26.0 0.0 26
2591 26.0 0.0 26
2592 26.0 0.0 26
2593 26.0 0.0 26
2594 26.0 0.0 26
2595 26.0 0.0 26
2596 26.0 0.0 26
2597 26.0 0.0 26
2598 26.0 0.0 26
2599 26.0 0.0 26
2600 26.0 0.0 26
2601 26.0 0.0 26
2602 26.0 0.0 26
2603 26.0 0.0 26
2604 38.2 33.4 153
2605 38.2 33.4 153
2606 38.2 33.4 153
2607 38.2 33.4 153
2608 38.2 33.4 153
2609 38.2 33.4 153
2610 38.2 33.4 153
2611 26.0 0.0 26
2612 26.0 0.0 26
2613 26.0 0.0 26
2614 26.0 0.0 26
2615 26.0 0.0 26
2616 26.0 0.0 26
2617 26.0 0.0 26
2618 26.0 0.0 26
2619 26.0 0.0 26
2620 26.0 0.0 26
2621 26.0 0.0 26
2622 26.0 0.0 26
2623 26.0 0.0 26
2624 26.0 0.0 26
2625 26.0 0.0 26
2626 26.0 0.0 26
2627 26.0 0.0 26
2628 26.0 0.0 26
2629 26.0 0.0 26
2630 26.0 0.0 26
2631 26.0 0.0 26
2632 26.0 0.0 26
2633 26.0 0.0 26
2634 26.0 0.0 26
2635 26.0 0.0 26
2636 26.0 0.0 26
2637 26.0 0.0 26
2638 26.0 0.0 26
2639 26.0 0.0 26
